title,url,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Walk On By,https://open.spotify.com/track/7dvJwMrZ9OrgCjHvJWgMZB,"THUNDERCAT, KENDRICK LAMAR",0.828,0.302,8,-11.655,1,0.287,0.207,0.0,0.076,0.756,94.94,199137,4
Still Feel Like Your Man,https://open.spotify.com/track/3pdWCmUno1bWzYIdYwoiMM,JOHN MAYER,0.861,0.593,2,-6.692,1,0.0683,0.512,0.0021,0.244,0.501,106.024,236693,4
Stay,https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0,"ZEDD, ALESSIA CARA",0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,210091,4
A Fan's Mail (Tron Song Suite II),https://open.spotify.com/track/4GyhoQHj94hFdKIixRNhEQ,THUNDERCAT,0.491,0.655,2,-13.342,0,0.0924,0.829,0.507,0.113,0.339,191.467,158938,4
Helpless,https://open.spotify.com/track/3ooKsUCAz3EgEjZAPRwtCm,JOHN MAYER,0.765,0.597,9,-5.858,0,0.0267,0.149,0.00145,0.0341,0.935,103.968,248787,4
Good Day (feat. DJ Snake & Elliphant),https://open.spotify.com/track/1VoLowJmACjY7SNDENKVIC,YELLOW CLAW,0.646,0.748,9,-5.469,0,0.0389,0.009,0.0,0.283,0.136,103.996,228342,4
Tokyo,https://open.spotify.com/track/44Kjgiyeib627UOEqW0oss,THUNDERCAT,0.365,0.69,11,-11.56,0,0.111,0.475,0.00286,0.216,0.65,151.362,144941,4
Something Just Like This,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH,"THE CHAINSMOKERS, COLDPLAY",0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,247627,4
American Teen,https://open.spotify.com/track/16mOynxbHDGdGWKErK5LO5,KHALID,0.658,0.623,0,-6.934,1,0.0398,0.0683,0.0,0.321,0.207,100.436,250747,4
Friend Zone,https://open.spotify.com/track/2KvLsBXs4pOPjnxiifsQX7,THUNDERCAT,0.589,0.829,1,-4.961,1,0.0353,0.265,0.00367,0.114,0.242,107.003,192511,4
Look At Me!,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw,XXXTENTACION,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,126346,4
Dark Red,https://open.spotify.com/track/3FkTxVBsQHrwMh3IyfKO81,STEVE LACY,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,173104,4
Green Light,https://open.spotify.com/track/3FQ26GroLnhQEja48FKYqT,LORDE,0.597,0.733,9,-7.768,1,0.101,0.0151,2.09e-05,0.081,0.256,128.918,234662,4
Feel It Still,https://open.spotify.com/track/7FESgYLcOufHqKlwrvJN60,PORTUGAL. THE MAN,0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,163251,4
Green Light,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7,LORDE,0.61,0.712,9,-7.808,1,0.0776,0.0147,1.12e-05,0.0843,0.283,128.921,234662,4
Feel Good,https://open.spotify.com/track/7fbVvLIqJrtDamxpivLqGr,"GRYFFIN, ILLENIUM, DAYA",0.625,0.707,2,-4.761,1,0.0337,0.22,0.0,0.213,0.479,138.064,248156,4
Confidently Lost,https://open.spotify.com/track/3cQmqM0awej9iAESjhKrI9,SABRINA CLAUDIO,0.666,0.39,5,-8.575,1,0.0838,0.272,9.39e-06,0.111,0.325,113.866,209885,4
Higher,https://open.spotify.com/track/4uWeGIum5DAZaoSLhIib3S,"BRIAN FRESCO, CHANCE THE RAPPER, BLUE HAWAII",0.818,0.51,4,-8.085,0,0.157,0.447,2.21e-06,0.37,0.417,119.919,241807,4
Liability,https://open.spotify.com/track/4JyLFq2mHC8JPFTXHwYPWD,LORDE,0.596,0.219,10,-11.148,0,0.149,0.925,0.0,0.134,0.334,83.096,172061,4
No Frauds,https://open.spotify.com/track/0WtVtCK5SEFvyyA5V8D9CI,"NICKI MINAJ, DRAKE, LIL WAYNE",0.865,0.553,1,-7.012,1,0.276,0.0788,3.17e-06,0.514,0.443,139.023,272453,4
Be Our Guest,https://open.spotify.com/track/54GzAEHI6jB08MQmbOHq3b,"EWAN MCGREGOR, EMMA THOMPSON, GUGU MBATHA-RAW, IAN MCKELLEN",0.427,0.593,9,-7.62,1,0.06,0.418,0.0,0.0733,0.531,113.659,288763,4
Beauty and the Beast,https://open.spotify.com/track/1Pxh2dQfRl230b3pD0VEYl,EMMA THOMPSON,0.29,0.23,7,-12.506,0,0.0327,0.788,1.12e-05,0.0995,0.11,87.736,199510,4
Days In The Sun,https://open.spotify.com/track/0DdmuONcI6PhfoqgBwmNuI,"ADAM MITCHELL, STANLEY TUCCI, EWAN MCGREGOR, GUGU MBATHA-RAW, IAN MCKELLEN, EMMA THOMPSON, EMMA WATSON, AUDRA MCDONALD, CLIVE ROWE",0.235,0.291,10,-9.679,1,0.031,0.931,1.8e-06,0.154,0.128,95.35,160349,4
Belle (Reprise),https://open.spotify.com/track/0fInGSmweok6x2FSRR77Ia,EMMA WATSON,0.457,0.319,0,-7.796,1,0.0303,0.546,9.77e-06,0.195,0.257,83.732,75825,4
The Mob Song,https://open.spotify.com/track/1DgKIur7BsnPltWTKASkAM,"LUKE EVANS, JOSH GAD, ENSEMBLE - BEAUTY AND THE BEAST, EMMA THOMPSON, IAN MCKELLEN, STANLEY TUCCI, NATHAN MACK, GUGU MBATHA-RAW, EWAN MCGREGOR",0.488,0.817,10,-7.106,0,0.199,0.34,0.0,0.0733,0.269,143.229,148617,4
Something There,https://open.spotify.com/track/6HaNTjaI6LAvsCinW1PTjK,"EMMA WATSON, DAN STEVENS, EWAN MCGREGOR, IAN MCKELLEN, EMMA THOMPSON, NATHAN MACK, GUGU MBATHA-RAW",0.447,0.321,0,-12.791,1,0.0378,0.898,5.72e-05,0.223,0.413,123.324,174879,4
Belle,https://open.spotify.com/track/6A1Dzh6bMR2JcIARgJNHB0,"EMMA WATSON, LUKE EVANS, ENSEMBLE - BEAUTY AND THE BEAST",0.549,0.488,0,-7.582,1,0.0483,0.809,0.0,0.0877,0.318,123.811,333265,4
REDMERCEDES,https://open.spotify.com/track/4X70hLzIDfY5T2BcsOcv6Q,AMINÉ,0.816,0.63,1,-5.729,0,0.183,0.00639,0.0304,0.173,0.599,101.997,169707,4
Break My Heart,https://open.spotify.com/track/051jBWZUgTspptCBYPxPsI,HEY VIOLET,0.598,0.846,4,-4.327,1,0.0781,0.0723,0.0,0.219,0.777,141.907,209948,4
Evermore,https://open.spotify.com/track/3Idj4PFLLcQVqHGA1Ydytm,DAN STEVENS,0.264,0.401,8,-8.496,1,0.0318,0.641,0.000144,0.101,0.221,86.786,194542,4
It's A Vibe,https://open.spotify.com/track/1p5B1jJk75RAblZCTnzUTU,"2 CHAINZ, TY DOLLA $IGN, TREY SONGZ, JHENÉ AIKO",0.803,0.488,7,-7.564,1,0.18,0.0313,0.000285,0.112,0.553,72.913,210400,4
Cold Little Heart - Radio Edit,https://open.spotify.com/track/2HL7EWAjEm5Bhpr1iWHA4C,MICHAEL KIWANUKA,0.638,0.574,7,-6.115,0,0.0263,0.316,0.000316,0.428,0.681,110.256,210300,4
Obsession (feat. Jon Bellion),https://open.spotify.com/track/542Xd5qDeLBvgXZXhfW7LE,VICE,0.741,0.559,10,-7.775,1,0.03,0.00728,0.000971,0.21,0.466,101.999,221983,4
Drowning (feat. Kodak Black),https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH,A BOOGIE WIT DA HOODIE,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,209269,4
I'm Shipping Up To Boston,https://open.spotify.com/track/2kf767S4oj5KKVLZKEG4gw,DROPKICK MURPHYS,0.452,0.928,2,-3.133,1,0.079,0.000706,0.000637,0.226,0.6,129.188,153600,4
