Unnamed: 0,title,artist,url,title_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
105791,Pieces (feat. 50 Cent),TORY LANEZ,https://open.spotify.com/track/4fdXiz0uJKg3HUOVj1p6iL,4fdXiz0uJKg3HUOVj1p6iL,0.746,0.749,1,-7.875,1,0.5,0.273,0,0.094,0.658,113.241,348333,5
105810,B.I.D,TORY LANEZ,https://open.spotify.com/track/6dnrppGRbt8fie18Lcd9Dd,6dnrppGRbt8fie18Lcd9Dd,0.767,0.689,10,-5.573,0,0.0852,0.103,0,0.0786,0.555,154.957,164133,4
105815,Shooters,TORY LANEZ,https://open.spotify.com/track/6TrjaOqUwdKQ7KNxJr2s9Y,6TrjaOqUwdKQ7KNxJr2s9Y,0.639,0.547,7,-6.237,0,0.0434,0.115,0,0.373,0.117,129.939,208173,4
106417,I Was Jack (You Were Diane),JAKE OWEN,https://open.spotify.com/track/52K3RIVDetSuZPzcTmIVoY,52K3RIVDetSuZPzcTmIVoY,0.603,0.872,6,-3.563,1,0.0487,0.102,0,0.0505,0.594,94.008,188013,4
107028,Find,"SHALLOU, KASBO, CODY LOVAAS",https://open.spotify.com/track/49ex5tTzAH1XMbzWUv0AEQ,49ex5tTzAH1XMbzWUv0AEQ,0.55,0.468,0,-7.608,1,0.0425,0.054,0.00108,0.232,0.293,92.06,219118,4
107488,Everyday,"LOGIC, MARSHMELLO",https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk,4EAV2cKiqKP5UPZmY6dejk,0.667,0.741,1,-4.099,1,0.0378,0.0425,0,0.0761,0.422,149.908,204747,4
107277,44 More,LOGIC,https://open.spotify.com/track/3e7Y6sfFlIdBMJhX7wpqVO,3e7Y6sfFlIdBMJhX7wpqVO,0.824,0.584,10,-7.098,0,0.221,0.0718,0,0.106,0.219,139.965,188600,4
109137,SAD!,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
109128,Khlorine (feat. Smino),SANGO,https://open.spotify.com/track/5bR43Wr3xJzs5LU0quiRGw,5bR43Wr3xJzs5LU0quiRGw,0.82,0.474,0,-9.672,1,0.298,0.2,9.39e-06,0.0944,0.482,153.028,230701,4
109206,changes,XXXTENTACION,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,7AFASza1mXqntmGtbxXprO,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,121887,4
109060,Early Morning Trappin (feat. Trippie Redd),RICH THE KID,https://open.spotify.com/track/10CdUJcbCQx8hd7LCC5Ul5,10CdUJcbCQx8hd7LCC5Ul5,0.794,0.438,8,-5.631,1,0.0781,0.00245,0,0.229,0.0909,151.998,201147,4
109123,This Is It,SCOTTY MCCREERY,https://open.spotify.com/track/34DFpyq5NJJ79GnGbbJH3p,34DFpyq5NJJ79GnGbbJH3p,0.557,0.511,8,-6.788,1,0.0291,0.254,0,0.099,0.602,156.042,230973,4
109343,Once In My Life,THE DECEMBERISTS,https://open.spotify.com/track/2MiX5yjl5t1W4HgM6zTbDC,2MiX5yjl5t1W4HgM6zTbDC,0.476,0.714,10,-6.469,1,0.0332,0.0146,0.000138,0.0785,0.114,97.059,309053,4
109798,I Wanna Know (feat. Bea Miller),NOTD,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD,18W92Zm1KjLCbUIszOhpkD,0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,197939,4
